year,url,tome
2023,https://link.springer.com/book/10.1007/978-3-031-35995-8,LNCS_14073
2023,https://link.springer.com/book/10.1007/978-3-031-36021-3,LNCS_14074
2023,https://link.springer.com/book/10.1007/978-3-031-36024-4,LNCS_14075
2023,https://link.springer.com/book/10.1007/978-3-031-36027-5,LNCS_14076
2023,https://link.springer.com/book/10.1007/978-3-031-36030-5,LNCS_14077
2022,https://link.springer.com/book/10.1007/978-3-031-08751-6,LNCS_13350
2022,https://link.springer.com/book/10.1007/978-3-031-08754-7,LNCS_13351
2022,https://link.springer.com/book/10.1007/978-3-031-08757-8,LNCS_13352
2022,https://link.springer.com/book/10.1007/978-3-031-08760-8,LNCS_13353
2021,https://link.springer.com/book/10.1007/978-3-030-77961-0,LNCS_12742
2021,https://link.springer.com/book/10.1007/978-3-030-77964-1,LNCS_12743
2021,https://link.springer.com/book/10.1007/978-3-030-77967-2,LNCS_12744
2021,https://link.springer.com/book/10.1007/978-3-030-77970-2,LNCS_12745
2021,https://link.springer.com/book/10.1007/978-3-030-77977-1,LNCS_12746
2021,https://link.springer.com/book/10.1007/978-3-030-77980-1,LNCS_12747
2020,https://link.springer.com/book/10.1007/978-3-030-50371-0,LNCS_12137
2020,https://link.springer.com/book/10.1007/978-3-030-50417-5,LNCS_12138
2020,https://link.springer.com/book/10.1007/978-3-030-50420-5,LNCS_12139
2020,https://link.springer.com/book/10.1007/978-3-030-50423-6,LNCS_12140
2020,https://link.springer.com/book/10.1007/978-3-030-50426-7,LNCS_12141
2020,https://link.springer.com/book/10.1007/978-3-030-50433-5,LNCS_12142
2020,https://link.springer.com/book/10.1007/978-3-030-50436-6,LNCS_12143
2019,https://link.springer.com/book/10.1007/978-3-030-22734-0,LNCS_11536
2019,https://link.springer.com/book/10.1007/978-3-030-22741-8,LNCS_11537
2019,https://link.springer.com/book/10.1007/978-3-030-22744-9,LNCS_11538
2019,https://link.springer.com/book/10.1007/978-3-030-22747-0,LNCS_11539
2019,https://link.springer.com/book/10.1007/978-3-030-22750-0,LNCS_11540
2018,https://link.springer.com/book/10.1007/978-3-319-93698-7,LNCS_10860
2018,https://link.springer.com/book/10.1007/978-3-319-93701-4,LNCS_10861
2018,https://link.springer.com/book/10.1007/978-3-319-93713-7,LNCS_10862
2009,https://link.springer.com/book/10.1007/978-3-642-01970-8,LNCS_5544
2009,https://link.springer.com/book/10.1007/978-3-642-01973-9,LNCS_5545
2008,https://link.springer.com/book/10.1007/978-3-540-69384-0,LNCS_5101
2008,https://link.springer.com/book/10.1007/978-3-540-69387-1,LNCS_5102
2008,https://link.springer.com/book/10.1007/978-3-540-69389-5,LNCS_5103
2007,https://link.springer.com/book/10.1007/978-3-540-72584-8,LNCS_4487
2007,https://link.springer.com/book/10.1007/978-3-540-72586-2,LNCS_4488
2007,https://link.springer.com/book/10.1007/978-3-540-72588-6,LNCS_4489
2007,https://link.springer.com/book/10.1007/978-3-540-72590-9,LNCS_4490
2006,https://link.springer.com/book/10.1007/11758501,LNCS_3991
2006,https://link.springer.com/book/10.1007/11758525,LNCS_3992
2006,https://link.springer.com/book/10.1007/11758532,LNCS_3993
2006,https://link.springer.com/book/10.1007/11758549,LNCS_3994
2005,https://link.springer.com/book/10.1007/b136570,LNCS_3514
2005,https://link.springer.com/book/10.1007/b136571,LNCS_3515
2005,https://link.springer.com/book/10.1007/b136575,LNCS_3516
2004,https://link.springer.com/book/10.1007/b97987,LNCS_3036
2004,https://link.springer.com/book/10.1007/b97988,LNCS_3037
2004,https://link.springer.com/book/10.1007/b97989,LNCS_3038
2004,https://link.springer.com/book/10.1007/b98005,LNCS_3039
2003,https://link.springer.com/book/10.1007/3-540-44860-8,LNCS_2657
2003,https://link.springer.com/book/10.1007/3-540-44862-4,LNCS_2658
2003,https://link.springer.com/book/10.1007/3-540-44863-2,LNCS_2659
2003,https://link.springer.com/book/10.1007/3-540-44864-0,LNCS_2660
2002,https://link.springer.com/book/10.1007/3-540-46043-8,LNCS_2329
2002,https://link.springer.com/book/10.1007/3-540-46080-2,LNCS_2330
2002,https://link.springer.com/book/10.1007/3-540-47789-6,LNCS_2331
2001,https://link.springer.com/book/10.1007/3-540-45545-0,LNCS_2073
2001,https://link.springer.com/book/10.1007/3-540-45718-6,LNCS_2074
2017,http://www.sciencedirect.com/journal/procedia-computer-science/vol/108,Procedia_Computer_Science_Vol_108
2016,http://www.sciencedirect.com/journal/procedia-computer-science/vol/80,Procedia_Computer_Science_Vol_80
2015,http://www.sciencedirect.com/journal/procedia-computer-science/vol/51,Procedia_Computer_Science_Vol_51
2014,http://www.sciencedirect.com/journal/procedia-computer-science/vol/29,Procedia_Computer_Science_Vol_29
2013,http://www.sciencedirect.com/journal/procedia-computer-science/vol/18,Procedia_Computer_Science_Vol_18
2012,http://www.sciencedirect.com/journal/procedia-computer-science/vol/9,Procedia_Computer_Science_Vol_9
2011,http://www.sciencedirect.com/journal/procedia-computer-science/vol/4,Procedia_Computer_Science_Vol_4
2010,http://www.sciencedirect.com/journal/procedia-computer-science/vol/1/issue/1,Procedia_Computer_Science_Vol_1
